"Archivo","Problemas","Severidad"
"El Canto Del Loco - Corazon (alt).txt","Contiene marcador de alternativa (alt)","MEDIA"
"El Canto Del Loco - Ekix (alt).txt","Contiene marcador de alternativa (alt)","MEDIA"
"El Canto Del Loco - La Suerte De Mi Vida (alt).txt","Contiene marcador de alternativa (alt)","MEDIA"
"El Canto Del Loco - Llueve en Mí (alt).txt","Contiene marcador de alternativa (alt)","MEDIA"
"El Canto Del Loco - Peter Pan (alt).txt","Contiene marcador de alternativa (alt)","MEDIA"
"El Canto Del Loco - PREGUNTAS (alt 2).txt","Contiene marcador de alternativa (alt)","MEDIA"
"El Canto Del Loco - Que Caro Es El Tiempo (alt).txt","Contiene marcador de alternativa (alt)","MEDIA"
"El Canto Del Loco - Siempre Cerca (alt).txt","Contiene marcador de alternativa (alt)","MEDIA"
"El Canto Del Loco - Te Recuerdo (alt).txt","Contiene marcador de alternativa (alt)","MEDIA"
"Formato_Recomendado.txt","Falta el separador ' - ' entre artista y canción","ALTA"
"index.json","Extensión no permitida: .json; Falta el separador ' - ' entre artista y canción","ALTA"
"Knockin on Heavens Door - Guns N Roses Tabs-Tablatures-Lyrics-Chords - Guitar-Bass - Tab Power.txt","Contiene información extra (Tabs/Tablatures/etc)","MEDIA"
"rebuild-index.ps1","Extensión no permitida: .ps1; Falta el separador ' - ' entre artista y canción","ALTA"
"song-profiles.json","Extensión no permitida: .json; Falta el separador ' - ' entre artista y canción","ALTA"
"song-profiles.seed.json","Extensión no permitida: .json; Falta el separador ' - ' entre artista y canción","ALTA"
"Yesterday - Beatles Tabs-Tablatures-Lyrics-Chords - Guitar-Bass - Tab Power.txt","Contiene información extra (Tabs/Tablatures/etc)","MEDIA"
